Название товара	Ссылка на товар	11.10.2024	11.11.2024	12.11.2024
Рaспрoдaжa по сeбecтoимoсти Духи на распив парфюм	https://www.avito.ru/ekaterinburg/krasota_i_zdorove/rasprodazha_po_sebectoimosti_duhi_na_raspiv_parfyum_4390657060?utm_campaign=native&utm_medium=item_page_ios&utm_source=soc_sharing_seller	11	9	3
Tom Ford Soleil Neige распив оригинал парфюм духи	https://www.avito.ru/moskva/krasota_i_zdorove/tom_ford_soleil_neige_raspiv_original_parfyum_duhi_4294745979?slocation=621540	2	6	15
				
				

